,Rooms,Type,Price,Method,SellerG,Sold_Year,Distance,Bathroom,Car,Landsize,CouncilArea,Regionname,Propertycount
1,2,h,1480000.0,S,Biggin,2016,2.5,1.0,1.0,202.0,Yarra City Council,Northern Metropolitan,4019.0
2,2,h,1035000.0,S,Biggin,2016,2.5,1.0,0.0,156.0,Yarra City Council,Northern Metropolitan,4019.0
4,3,h,1465000.0,SP,Biggin,2017,2.5,2.0,0.0,134.0,Yarra City Council,Northern Metropolitan,4019.0
5,3,h,850000.0,PI,Biggin,2017,2.5,2.0,1.0,94.0,Yarra City Council,Northern Metropolitan,4019.0
6,4,h,1600000.0,VB,Nelson,2016,2.5,1.0,2.0,120.0,Yarra City Council,Northern Metropolitan,4019.0
10,2,h,941000.0,S,Jellis,2016,2.5,1.0,0.0,181.0,Yarra City Council,Northern Metropolitan,4019.0
11,3,h,1876000.0,S,Nelson,2016,2.5,2.0,0.0,245.0,Yarra City Council,Northern Metropolitan,4019.0
14,2,h,1636000.0,S,Nelson,2016,2.5,1.0,2.0,256.0,Yarra City Council,Northern Metropolitan,4019.0
15,3,h,1000000.0,S,Jellis,2016,2.5,2.0,2.0,593.4889333778223,Yarra City Council,Northern Metropolitan,4019.0
16,2,t,745000.0,S,Jellis,2016,2.5,1.0,1.0,593.4889333778223,Yarra City Council,Northern Metropolitan,4019.0
17,1,u,300000.0,S,Biggin,2016,2.5,1.0,1.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
18,2,h,1097000.0,S,Biggin,2016,2.5,1.0,2.0,220.0,Yarra City Council,Northern Metropolitan,4019.0
19,2,u,542000.0,S,Dingle,2016,2.5,1.0,1.0,593.4889333778223,Yarra City Council,Northern Metropolitan,4019.0
21,2,u,760000.0,SP,Biggin,2016,2.5,1.0,1.0,593.4889333778223,Yarra City Council,Northern Metropolitan,4019.0
22,1,u,481000.0,SP,Purplebricks,2016,2.5,1.0,0.0,593.4889333778223,Yarra City Council,Northern Metropolitan,4019.0
23,2,u,700000.0,VB,Jellis,2016,2.5,2.0,1.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
24,3,h,1350000.0,VB,Nelson,2016,2.5,2.0,2.0,214.0,Yarra City Council,Northern Metropolitan,4019.0
25,2,u,750000.0,S,Biggin,2016,2.5,2.0,1.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
26,4,h,1985000.0,S,Biggin,2016,2.5,2.0,2.0,593.4889333778223,Yarra City Council,Northern Metropolitan,4019.0
27,1,u,500000.0,S,Biggin,2016,2.5,1.0,0.0,593.4889333778223,Yarra City Council,Northern Metropolitan,4019.0
28,2,h,1172500.0,S,Biggin,2016,2.5,1.0,1.0,195.0,Yarra City Council,Northern Metropolitan,4019.0
29,1,u,441000.0,SP,Greg,2016,2.5,1.0,1.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
30,2,h,1310000.0,S,Jellis,2016,2.5,1.0,2.0,238.0,Yarra City Council,Northern Metropolitan,4019.0
32,3,h,1200000.0,S,Jellis,2016,2.5,2.0,1.0,113.0,Yarra City Council,Northern Metropolitan,4019.0
33,2,t,847000.0,S,Jellis,2016,2.5,1.0,1.0,593.4889333778223,Yarra City Council,Northern Metropolitan,4019.0
35,3,h,1176500.0,S,LITTLE,2016,2.5,1.0,1.0,138.0,Yarra City Council,Northern Metropolitan,4019.0
36,3,h,955000.0,S,Collins,2016,2.5,1.0,0.0,183.0,Yarra City Council,Northern Metropolitan,4019.0
37,2,h,890000.0,S,Biggin,2016,2.5,1.0,1.0,150.0,Yarra City Council,Northern Metropolitan,4019.0
38,4,h,1330000.0,PI,Kay,2017,2.5,2.0,2.0,780.0,Yarra City Council,Northern Metropolitan,4019.0
40,3,t,900000.0,S,Beller,2017,2.5,2.0,2.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
41,3,u,1090000.0,S,Jellis,2017,2.5,2.0,2.0,4290.0,Yarra City Council,Northern Metropolitan,4019.0
42,2,u,500000.0,S,Collins,2016,2.5,1.0,1.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
43,2,h,1100000.0,PI,Biggin,2016,2.5,2.0,1.0,124.0,Yarra City Council,Northern Metropolitan,4019.0
44,2,h,1315000.0,S,Marshall,2016,2.5,1.0,0.0,147.0,Yarra City Council,Northern Metropolitan,4019.0
45,1,u,480000.0,S,Biggin,2016,2.5,1.0,0.0,593.4889333778223,Yarra City Council,Northern Metropolitan,4019.0
